Longitude,Latitude,Power
12.521839,55.785429,-38.8325009227102
12.521887,55.7855,-38.8469836202583
12.521915,55.785538,-38.861405691325
12.521902,55.785588,-38.8756178570762
12.521814,55.785589,-38.8901130119754
12.521764,55.785518,-38.9046586555858
12.521719,55.785412,-38.9191832056792
12.521625,55.78528,-38.9337608998459
12.521537,55.785117,-38.9494085470807
12.521453,55.784948,-38.9639762906807
12.521356,55.784764,-38.978597442956
12.521255,55.784582,-38.9931933932898
12.521142,55.784372,-39.0089006029671
12.52092,55.783966,-39.0299696331266
12.520797,55.783743,-39.0435552579963
12.520684,55.783532,-39.0582360054691
12.520568,55.783323,-39.0729483744264
12.513512,55.783876,-39.0876285235869
12.513506,55.783878,-39.1023498791695
12.513501,55.783878,-39.117105499995
12.51349,55.783875,-39.1318240213884
12.520509,55.78076,-39.1451014457356
12.522006,55.782158,-39.1598416779765
12.522315,55.782844,-39.1746466570877
12.522615,55.783385,-39.8555742281901
12.522824,55.78359,-39.869140372843
12.523583,55.78345,-39.8816203887118
12.523213,55.784446,-39.8954160070319
12.523275,55.784543,-39.9070342121687
12.523328,55.784631,-39.9293969745777
12.523376,55.784719,-39.9437002972794
12.523798,55.784932,-39.9557443749877
12.523933,55.784909,-39.9703612883342
12.52405,55.784888,-39.9850921936877
12.524128,55.784863,-40.0000409842788
12.524603,55.78507,-40.0138894476468
12.527274,55.787135,-40.0290824360679
12.527761,55.788409,-40.0444697731543
12.527113,55.789131,-40.0599789791113
12.527055,55.789027,-40.0756516286994
12.527001,55.788934,-40.0915176374379
12.526967,55.788867,-40.1049540466882
12.527001,55.788823,-40.1210660021665
12.527041,55.788812,-40.1374364982402
12.527049,55.788807,-40.1527022114665
12.527043,55.788807,-40.1777837837487
12.527029,55.788811,-40.1946839924861
12.527021,55.788815,-40.2117600975358
12.526984,55.78882,-40.226324558099
12.526983,55.788821,-40.243728105078
12.526994,55.788828,-40.2600912506941
12.527029,55.788861,-40.2779245289821
12.527067,55.788927,-40.2930152037399
12.527133,55.78905,-40.3111236343567
12.527188,55.789147,-40.3294904730683
12.527237,55.789236,-40.3450535013388
12.527282,55.789317,-40.3636981949608
12.527313,55.789396,-40.3825780223181
12.527277,55.789464,-40.4016112484317
12.527169,55.789503,-40.4178182039687
12.526648,55.789592,-40.4372970581431
12.526477,55.789621,-40.4656242369212
12.52631,55.78965,-40.485522737119
12.526125,55.789679,-40.5057120193227
12.525912,55.789717,-40.5260532982149
12.525693,55.789754,-37.7589073431013
12.525508,55.789786,-37.745709652078
12.525401,55.789809,-37.7324995547919
12.525347,55.789824,-37.7205422301359
12.525301,55.789834,-37.7083303153959
12.525263,55.789839,-37.6950852113604
12.525254,55.78984,-37.6818277352111
12.525257,55.789837,-37.6685578960241
12.525278,55.789833,-37.6563011630843
12.525307,55.78983,-37.6430075531048
12.525339,55.789835,-37.6297016084881
12.525355,55.78985,-37.617658071495
12.525361,55.789859,-37.5986888162247
12.52536,55.789855,-37.5853419431567
12.525356,55.789833,-37.5719827850254
12.525377,55.789803,-37.5573312684877
12.52547,55.789774,-37.5449795921003
12.525605,55.789751,-40.9318368344886
12.525767,55.789721,-40.9556908244299
12.525949,55.789687,-40.9772321244025
12.526135,55.789653,-41.002850380672
12.526319,55.789619,-41.0286120932006
12.526515,55.789583,-41.0496409162624
12.526724,55.789545,-41.0759389213077
12.526935,55.789506,-41.1026006637019
12.527361,55.789479,-37.4232238551367
12.527431,55.789558,-41.1513773421495
12.527492,55.78967,-41.1774812100722
12.521806,55.791718,-41.2137896427173
12.521732,55.791703,-41.2418390404365
12.52173,55.791665,-41.2647941088211
12.521749,55.791615,-41.2933949188242
12.521735,55.791556,-41.3168595323992
12.521715,55.791512,-42.4240178615304
12.521721,55.791475,-42.4652359938403
12.523644,55.791097,-42.5055665885787
12.523769,55.791074,-42.547661976058
12.523811,55.791065,-42.5888023348636
12.523835,55.791058,-42.6317727936215
12.523896,55.791031,-42.6738117618399
12.523916,55.790969,-42.7177972597073
12.523873,55.790882,-42.7607529737004
12.523802,55.790761,-42.8056977067657
12.523723,55.790621,-42.8509187949402
12.523317,55.789879,-42.913340016601
12.523221,55.789716,-42.9598043903773
12.520319,55.789531,-42.9988530770232
12.520144,55.789564,-43.0462364571066
12.519958,55.789591,-43.0873276620379
