,Longitude,Latitude,Speed,Distance,Distance_x,Distance_y,PCI,PCI_3,PCI_4,PCI_6,PCI_7,PCI_20,PCI_40,PCI_184,PCI_237
217,-78.9396568,35.999688,-300.0,213.875624792908,-0.000443,-0.0001132,4,0,1,0,0,0,0,0,0
218,-78.9396661,35.9996471,-300.0,558.9442248185663,0.0032719,0.0041111,7,0,0,0,1,0,0,0,0
219,-78.9396661,35.9996471,-300.0,335.87434560243764,0.0023619,-0.0003339,40,0,0,0,0,0,1,0,0
220,-78.9396661,35.9996471,-300.0,212.83987716520028,-0.0004021,-0.0001039,4,0,1,0,0,0,0,0,0
221,-78.9396661,35.9996471,-300.0,927.7068672818405,0.0052909,0.0076261,6,0,0,1,0,0,0,0,0
222,-78.9396661,35.9996471,-300.0,320.22041916106764,0.0003529,0.0026661,20,0,0,0,0,1,0,0,0
223,-78.9396661,35.9996471,-300.0,431.8731629850189,0.0028879,0.0022351,3,1,0,0,0,0,0,0,0
224,-78.9396724,35.9995924,-300.0,563.2796726827942,0.0033266,0.0041174,7,0,0,0,1,0,0,0,0
225,-78.9396724,35.9995924,-300.0,340.58160746230607,0.0024166,-0.0003276,40,0,0,0,0,0,1,0,0
226,-78.9396724,35.9995924,-300.0,211.62640279234458,-0.0003474,-9.76e-05,4,0,1,0,0,0,0,0,0
227,-78.9396724,35.9995924,-300.0,931.9791086135964,0.0053456,0.0076324,6,0,0,1,0,0,0,0,0
228,-78.9396724,35.9995924,-300.0,321.44477074694476,0.0004076,0.0026724,20,0,0,0,0,1,0,0,0
229,-78.9396724,35.9995924,-300.0,436.6581416131763,0.0029426,0.0022414,3,1,0,0,0,0,0,0,0
230,-78.9396807,35.9995448,-300.0,567.2453057832763,0.0033742,0.0041257,7,0,0,0,1,0,0,0,0
231,-78.9396807,35.9995448,-300.0,344.69197682598156,0.0024642,-0.0003193,40,0,0,0,0,0,1,0,0
232,-78.9396807,35.9995448,-300.0,935.9002465130529,0.0053932,0.0076407,6,0,0,1,0,0,0,0,0
233,-78.9396807,35.9995448,-300.0,322.79036171227165,0.0004552,0.0026807,20,0,0,0,0,1,0,0,0
234,-78.9396807,35.9995448,-300.0,440.9651707368849,0.0029902,0.0022497,3,1,0,0,0,0,0,0,0
235,-78.9396816,35.9994928,-300.0,571.2322441268556,0.0034262,0.0041266,7,0,0,0,1,0,0,0,0
236,-78.9396816,35.9994928,-300.0,349.45853498689024,0.0025162,-0.0003184,40,0,0,0,0,0,1,0,0
237,-78.9396816,35.9994928,-300.0,939.7261131746267,0.0054452,0.0076416,6,0,0,1,0,0,0,0,0
238,-78.9396816,35.9994928,-300.0,323.9967041393785,0.0005072,0.0026816,20,0,0,0,0,1,0,0,0
239,-78.9396816,35.9994928,-300.0,445.4998528455193,0.0030422,0.0022506,3,1,0,0,0,0,0,0,0
240,-78.9396925,35.9994479,-300.0,575.196909519628,0.0034711,0.0041375,7,0,0,0,1,0,0,0,0
241,-78.9396925,35.9994479,-300.0,353.3731181628443,0.0025611,-0.0003075,40,0,0,0,0,0,1,0,0
242,-78.9396925,35.9994479,-300.0,943.6554862569425,0.0054901,0.0076525,6,0,0,1,0,0,0,0,0
243,-78.9396925,35.9994479,-300.0,325.63122247497614,0.0005521,0.0026925,20,0,0,0,0,1,0,0,0
244,-78.9396925,35.9994479,-300.0,449.73131935457747,0.0030871,0.0022615,3,1,0,0,0,0,0,0,0
245,-78.9397116,35.9994144,-300.0,578.8060780337076,0.0035046,0.0041566,7,0,0,0,1,0,0,0,0
246,-78.9397116,35.9994144,-300.0,356.23938133676114,0.0025946,-0.0002884,40,0,0,0,0,0,1,0,0
247,-78.9397116,35.9994144,-300.0,947.3160809935067,0.0055236,0.0076716,6,0,0,1,0,0,0,0,0
248,-78.9397116,35.9994144,-300.0,327.6340629665559,0.0005856,0.0027116,20,0,0,0,0,1,0,0,0
249,-78.9397116,35.9994144,-300.0,453.34742106025055,0.0031206,0.0022806,3,1,0,0,0,0,0,0,0
250,-78.9397248,35.999378,-300.0,582.2950478151911,0.003541,0.0041698,7,0,0,0,1,0,0,0,0
251,-78.9397248,35.999378,-300.0,359.4271662477919,0.002631,-0.0002752,40,0,0,0,0,0,1,0,0
252,-78.9397248,35.999378,-300.0,950.8012006363596,0.00556,0.0076848,6,0,0,1,0,0,0,0,0
253,-78.9397248,35.999378,-300.0,329.3458320361741,0.000622,0.0027248,20,0,0,0,0,1,0,0,0
254,-78.9397248,35.999378,-300.0,456.97712603303745,0.003157,0.0022938,3,1,0,0,0,0,0,0,0
255,-78.9397312,35.9993363,-300.0,585.7978907727937,0.0035827,0.0041762,7,0,0,0,1,0,0,0,0
256,-78.9397312,35.9993363,-300.0,363.1563542191729,0.0026727,-0.0002688,40,0,0,0,0,0,1,0,0
257,-78.9397312,35.9993363,-300.0,954.2293300268075,0.0056017,0.0076912,6,0,0,1,0,0,0,0,0
258,-78.9397312,35.9993363,-300.0,330.7758550928716,0.0006637,0.0027312,20,0,0,0,0,1,0,0,0
259,-78.9397312,35.9993363,-300.0,460.792997684702,0.0031987,0.0023002,3,1,0,0,0,0,0,0,0
260,-78.9397399,35.9992946,-300.0,589.0618980668256,0.0036244,0.0041849,7,0,0,0,1,0,0,0,0
261,-78.9397399,35.9992946,-300.0,366.27049095539917,0.0027144,-0.0002601,40,0,0,0,0,0,1,0,0
