,Longitude,Latitude,Speed,Distance,Distance_x,Distance_y,PCI,PCI_3,PCI_4,PCI_6,PCI_7,PCI_20,PCI_40,PCI_184,PCI_237
1157,-78.9392858,36.0031024,-300.0,454.2455445257,-0.0031024,0.0022858,20,0,0,0,0,1,0,0,0
1158,-78.9393875,36.0031323,-300.0,253.908229513,-0.0011233,-0.0006125,40,0,0,0,0,0,1,0,0
1159,-78.9394466,36.0031562,-300.0,254.2526204857,-0.0011472,-0.0005534,40,0,0,0,0,0,1,0,0
1160,-78.9395101,36.0031802,-300.0,254.4924442617,-0.0011712,-0.0004899,40,0,0,0,0,0,1,0,0
1161,-78.9395599,36.0032052,-300.0,256.0839281566,-0.0011962,-0.0004401,40,0,0,0,0,0,1,0,0
1162,-78.9396287,36.0032108,-300.0,255.6140609362,-0.0012018,-0.0003713,40,0,0,0,0,0,1,0,0
1163,-78.9396888,36.003234,-300.0,256.3059393554,-0.001225,-0.0003112,40,0,0,0,0,0,1,0,0
1164,-78.9397222,36.0032603,-300.0,257.5149894469,-0.0012513,-0.0002778,40,0,0,0,0,0,1,0,0
1165,-78.9397347,36.0033074,-300.0,260.365548517,-0.0012984,-0.0002653,40,0,0,0,0,0,1,0,0
1166,-78.9397482,36.0033759,-300.0,264.4136084423,-0.0013669,-0.0002518,40,0,0,0,0,0,1,0,0
1167,-78.9397629,36.0034278,-300.0,267.6901976486,-0.0014188,-0.0002371,40,0,0,0,0,0,1,0,0
1168,-78.9397615,36.0034733,-300.0,270.7048663522,-0.0014643,-0.0002385,40,0,0,0,0,0,1,0,0
1169,-78.9397976,36.0035088,-300.0,272.9431881718,-0.0014998,-0.0002024,40,0,0,0,0,0,1,0,0
1170,-78.9398328,36.0035627,-300.0,276.4262055084,-0.0015537,-0.0001672,40,0,0,0,0,0,1,0,0
1171,-78.9399122,36.0035589,-300.0,275.8751157879,-0.0015499,-8.78e-05,40,0,0,0,0,0,1,0,0
1172,-78.9399456,36.0035894,-300.0,277.9714505992,-0.0015804,-5.44e-05,40,0,0,0,0,0,1,0,0
1173,-78.9399899,36.0036109,-300.0,279.4712683099,-0.0016019,-1.01e-05,40,0,0,0,0,0,1,0,0
1174,-78.9400307,36.0036329,-300.0,281.1540014176,-0.0016239,3.07e-05,40,0,0,0,0,0,1,0,0
